"nivel","nombre","tipos","plazas"
"1","RESPONSABLE PROYECTO II","EVENTUAL","1"
"1","SECRETARIA II","REGULAR","9"
"1","SECRETARIO(A) DEPTAL. DE  ASUNTOS JURIDICOS","REGULAR","1"
"1","SECRETARIO(A) DEPTAL. DE ADMINISTRACI�N Y FINANZAS P�BLICAS","REGULAR","1"
"1","SECRETARIO(A) DEPTAL. DE CULTURA  Y TURISMO","REGULAR","1"
"1","SECRETARIO(A) DEPTAL. DE DESARROLLO PRODUCTIVO E INDUSTRIA","REGULAR","1"
"1","SECRETARIO(A) DEPTAL. DE DESARROLLO SOCIAL Y SEGURIDAD ALIMENTARIA","REGULAR","1"
"1","SECRETARIO(A) DEPTAL. DE MEDIO AMBIENTE, AGUA Y MADRE TIERRA","REGULAR","1"
"1","SECRETARIO(A) DEPTAL. DE MINERIA Y METALURGIA Y RECURSOS ENERG�TICOS","REGULAR","1"
"1","SECRETARIO(A) DEPTAL. DE OBRAS P�BLICAS","REGULAR","1"
"1","SECRETARIO(A) DEPTAL. DE PLANIFICACI�N DEL DESARROLLO","REGULAR","1"
"1","SECRETARIO(A) GENERAL","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA CARANGAS","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA CERCADO","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA EDUARDO AVAROA","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA LADISLAO CABRERA","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA LITORAL","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA MEJILLONES","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA NOR CARANGAS","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA PANTALEON DALENCE","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA POOPO","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA SABAYA","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA SAJAMA","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA SAN PEDRO DE TOTORA","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA SAUCARI","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA SEBASTIAN PAGADOR","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA SUR CARANGAS","REGULAR","1"
"1","SUB GOBERNADOR PROVINCIA TOMAS BARR�N","REGULAR","1"
"1","SUPERVISOR  DE PROYECTOS","REGULAR","1"
